padrao_taco;codigo_pof;medidas_excluidas;observacao
^Romã, crua$;6807601;;POF: ROMA
^Tamarindo, cru$;6806201;;POF: TAMARINDO
^Tangerina, [^,]+, crua$;6802201;;POF: TANGERINA
^Tucumã, cru$;6601108;;POF: TUCUMA
^Umbu, cru$;6807101;;POF: UMBU
^Uva, [^,]+, crua$;6803901;;POF: UVA
^Carne, bovina, acém, moído, cozido$;7104301;;POF: CARNE MOIDA
^Carne, bovina, acém, sem gordura, cozido$;7100801;;POF: ACEM
^Carne, bovina, contra-filé, (com|sem) gordura, grelhado$;7100201;;POF: CONTRAFILE
^Carne, bovina, miolo de alcatra, sem gordura, grelhado$;7100301;;POF: ALCATRA
^Carne, bovina, picanha, (com|sem) gordura, grelhada$;7100304;;POF: PICANHA
^Carne, bovina, patinho, sem gordura, grelhado$;7100501;;POF: PATINHO
^Carne, bovina, músculo, sem gordura, cozido$;7101001;;POF: MUSCULO BOVINO
^Carne, bovina, peito, sem gordura, cozido$;7101101;;POF: PEITO BOVINO
^Carne, bovina, costela, assada$;7101301;;POF: COSTELA BOVINA
^Carne, bovina, fígado, grelhado$;7102501;;POF: FIGADO BOVINO
^Carne, bovina, língua, cozida$;7102701;;POF: LINGUA BOVINA
^Carne, bovina, lagarto, cozido$;7106401;;POF: LAGARTO BOVINO
^Frango, coxa, (com|sem) pele, (assada|cozida)$;7800302;ASA|PEITO|SOBRECOXA|PESCOCO|COSTELA|BIFE|FILE;POF: FRANGO EM PEDACOS, só medidas que servem para coxa
^Frango, sobrecoxa, (com|sem) pele, assada$;7800302;ASA|PEITO|COXA|PESCOCO|COSTELA|BIFE|FILE;POF: FRANGO EM PEDACOS, só medidas que servem para sobrecoxa
^Frango, peito, (com|sem) pele, (cozido|grelhado|assado)$;7800302;ASA|COXA|SOBRECOXA|PESCOCO|COSTELA;POF: FRANGO EM PEDACOS, só medidas que servem para peito
#removida: TACO só tem asa crua;;;
#^Frango, asa, com pele, assada$;7800302;PEITO|COXA|SOBRECOXA|PESCOCO|COSTELA|BIFE|FILE;POF: FRANGO EM PEDACOS, só medidas que servem para asa
^Frango, fígado, cru$;;;sem mapeamento: forma crua de víscera
^Porco, bisteca, grelhada$;7103305;;POF: BISTECA SUINA
^Porco, lombo, assado$;7103701;;POF: LOMBO SUINO
^Porco, pernil, assado$;7103401;;POF: PERNIL SUINO
^Porco, costela, assada$;7103501;;POF: COSTELA SUINA
^Lingüiça, porco, (frita|grelhada)$;8102204;;POF: LINGUICA (SUINA, BOVINA, MISTA, ETC)
^Lingüiça, frango, (frita|grelhada)$;8102207;;POF: LINGUICA DE FRANGO
^Hambúrguer, bovino, (frito|grelhado)$;8100502;;POF: HAMBURGUER DE CARNE BOVINA
^Mortadela$;8102601;;POF: MORTADELA
^Presunto, (com|sem) capa de gordura$;8102901;;POF: PRESUNTO
^Salame$;8102701;;POF: SALAME
^Apresuntado$;8103601;;POF: APRESUNTADO
^Quibe, (assado|frito)$;8500211;;POF: QUIBE
^Coxinha de frango, frita$;8500205;;POF: COXINHA
^Croquete, de carne, frito$;8500203;;POF: CROQUETE
^Empada de frango, pré-cozida, assada$;8500206;;POF: EMPADA
^Atum, conserva em óleo$;7703402;;POF: ATUM EM CONSERVA
^Sardinha, conserva em óleo$;7703002;;POF: SARDINHA EM CONSERVA
^(Pescada|Merluza|Corvina do mar|Cação|Abadejo|Pescadinha|Salmão|Manjuba|Sardinha, inteira)[^,]*,.*(cozid|grelhad|assad|frit|ensopad)[ao]?.*$;7200101;BOLA;POF: PEIXE DE MAR (INTEIRO, EM POSTA, EM FILE, ETC)
^(Pintado|Tucunaré|Lambari|Corimba|Corimbatá|Dourada de água doce|Corvina de água doce|Porquinho)[^,]*,.*(cozid|grelhad|assad|frit|ensopad)[ao]?.*$;7400101;BOLA;POF: PEIXE DE AGUA DOCE (INTEIRO, EM POSTA, EM FILE, ETC)
^Bacalhau, salgado, refogado$;7270401;;POF: BACALHAU
^Camarão, .*(cozido|frito)$;7260101;;POF: CAMARAO
^Caranguejo, cozido$;7262101;;POF: CARANGUEJO
^Leite, de vaca, integral$;7900101;;POF: LEITE DE VACA INTEGRAL
^Leite, de vaca, desnatado, UHT$;7903601;;POF: LEITE DE VACA DESNATADO
^Leite, de cabra$;7900301;;POF: LEITE DE CABRA
^Iogurte, natural, desnatado$;7901203;PONTA DE FACA;POF: IOGURTE DESNATADO
^Iogurte, natural$;7901204;;POF: IOGURTE NATURAL
^Iogurte, sabor ;7901201;;POF: IOGURTE DE QUALQUER SABOR
^Bebida láctea, ;7901303;;POF: BEBIDA LACTEA
^Queijo, minas, frescal$;7902001;;POF: QUEIJO DE MINAS
^Queijo, mozarela$;7901801;;POF: QUEIJO MUZARELLA
^Queijo, prato$;7901701;;POF: QUEIJO PRATO
^Queijo, parmesão$;7902403;;POF: QUEIJO RALADO
^Queijo, ricota$;7902201;;POF: QUEIJO RICOTA
^Queijo, requeijão, cremoso$;7902901;;POF: REQUEIJAO
^Creme de Leite$;7901001;;POF: CREME DE LEITE
^Ovo, de galinha, inteiro, (cozido/10minutos|frito)$;7803301;;POF: OVO DE GALINHA
^Ovo, de codorna, inteiro, cru$;7803501;;POF: OVO DE CODORNA
^Omelete, de queijo$;8506501;;POF: OMELETE
^Castanha-do-Brasil, crua$;6600701;;POF: CASTANHA DO PARA
^Castanha-de-caju, torrada, salgada$;6600801;CONCHA|COPO*;POF: CASTANHA DE CAJU
^Amêndoa, torrada, salgada$;6600501;;POF: AMENDOA
^Noz, crua$;6601501;;POF: NOZ
^Linhaça, semente$;6302001;;POF: SEMENTE DE LINHACA
^Açúcar, (cristal|refinado)$;6906602;;POF: ACUCAR
^Açúcar, mascavo$;6900304;;POF: ACUCAR MASCAVO
^Mel, de abelha$;6901602;;POF: MEL
^Azeite, de oliva, extra virgem$;8400101;;POF: AZEITE DE OLIVA
^Óleo, de soja$;8400301;;POF: OLEO DE SOJA
^Óleo, de (canola|girassol|milho)$;8403201;;POF: OLEO NAO ESPECIFICADO
^Manteiga, (com|sem) sal$;7901501;;POF: MANTEIGA COM OU SEM SAL
^Margarina, ;7901602;;POF: MARGARINA COM OU SEM SAL
^Café, infusão 10%$;8501302;;POF: CAFE
^Chá, [^,]+, infusão 5%$;8206301;;POF: CHA (PRETO, CAMOMILA, ERVA CIDREIRA, CAPIM LIMAO, ETC)
^Chocolate, ao leite$;6900702;;POF: BARRA DE CHOCOLATE
#removida: goiabada não existe na TACO;;;
^Geléia, mocotó, natural$;6901101;;POF: GELEIA DE MOCOTO
^Refrigerante, tipo cola$;8200101;;POF: REFRIGERANTE DE COLA TRADICIONAL
^Refrigerante, tipo guaraná$;8200301;;POF: REFRIGERANTE DE GUARANA TRADICIONAL
